                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 0.7349,                0.42554,                0.92468,                0.85757,                0.69233,                0.75285,                 0.5246,                 1.2588,                0.77434,                 1.1389,               0.002938,               0.002938,               0.002938
                    109,                0.72909,                0.42465,                0.92167,                0.85754,                0.69246,                0.75331,                0.52526,                 1.2586,                0.77508,                 1.1389,               0.002872,               0.002872,               0.002872
                    110,                0.72139,                0.42022,                0.91937,                 0.8576,                0.69188,                0.75335,                0.52467,                 1.2583,                  0.775,                 1.1389,               0.002806,               0.002806,               0.002806
                    111,                 0.7204,                0.41979,                0.92017,                 0.8581,                0.69177,                0.75355,                0.52502,                 1.2587,                0.77476,                 1.1391,                0.00274,                0.00274,                0.00274
                    112,                0.71918,                 0.4184,                0.91673,                0.85845,                0.69187,                0.75306,                0.52514,                 1.2591,                0.77511,                 1.1391,               0.002674,               0.002674,               0.002674
                    113,                0.71507,                0.41334,                0.91717,                   0.86,                0.69127,                0.75317,                0.52505,                  1.259,                0.77547,                 1.1394,               0.002608,               0.002608,               0.002608
                    114,                0.71296,                 0.4151,                0.91865,                0.86003,                0.69047,                 0.7529,                0.52504,                 1.2585,                0.77622,                 1.1394,               0.002542,               0.002542,               0.002542
                    115,                0.71114,                0.41549,                0.91442,                0.85966,                 0.6904,                 0.7526,                0.52551,                 1.2589,                0.77711,                 1.1395,               0.002476,               0.002476,               0.002476
                    116,                0.70192,                0.40691,                0.91178,                0.85832,                0.68868,                0.75071,                0.52565,                 1.2593,                 0.7766,                   1.14,                0.00241,                0.00241,                0.00241
                    117,                0.70341,                0.41017,                0.91244,                0.86269,                0.68888,                0.75238,                 0.5261,                 1.2593,                0.77719,                   1.14,               0.002344,               0.002344,               0.002344
                    118,                0.70383,                0.40722,                0.91199,                0.86144,                0.68919,                0.75163,                  0.526,                 1.2595,                0.77703,                 1.1406,               0.002278,               0.002278,               0.002278
                    119,                0.69935,                0.40726,                0.90946,                0.85946,                0.69006,                0.75207,                0.52603,                 1.2599,                0.77741,                 1.1409,               0.002212,               0.002212,               0.002212
                    120,                 0.6978,                0.40283,                 0.9107,                0.85984,                0.69025,                0.75208,                0.52623,                 1.2602,                 0.7767,                  1.141,               0.002146,               0.002146,               0.002146
                    121,                0.69453,                0.40472,                 0.9093,                0.86001,                0.69032,                0.75203,                0.52546,                 1.2604,                 0.7771,                 1.1416,                0.00208,                0.00208,                0.00208
                    122,                0.69229,                0.40001,                0.91049,                0.85213,                 0.6943,                0.75218,                0.52543,                 1.2608,                0.77786,                 1.1419,               0.002014,               0.002014,               0.002014
                    123,                0.69602,                 0.4036,                0.91015,                0.85302,                0.69194,                0.75199,                0.52532,                 1.2607,                0.77859,                 1.1421,               0.001948,               0.001948,               0.001948
                    124,                0.68367,                0.39874,                0.90612,                0.85465,                0.69213,                0.75211,                0.52505,                 1.2606,                0.77865,                 1.1421,               0.001882,               0.001882,               0.001882
                    125,                0.68558,                 0.3981,                0.90506,                0.85347,                0.69241,                0.75164,                0.52473,                 1.2603,                0.77862,                 1.1421,               0.001816,               0.001816,               0.001816
                    126,                0.67827,                0.39281,                 0.9057,                0.85311,                 0.6952,                0.75181,                0.52508,                 1.2603,                0.77913,                 1.1423,                0.00175,                0.00175,                0.00175
                    127,                 0.6775,                0.39271,                0.90434,                0.84357,                0.70297,                0.75209,                0.52536,                 1.2605,                0.77983,                 1.1423,               0.001684,               0.001684,               0.001684
                    128,                0.67773,                0.39162,                0.90524,                0.84367,                0.70417,                0.75272,                0.52506,                 1.2606,                0.78071,                 1.1424,               0.001618,               0.001618,               0.001618
                    129,                 0.6759,                0.39046,                0.90341,                0.84964,                0.70118,                 0.7526,                0.52495,                 1.2612,                0.78062,                  1.143,               0.001552,               0.001552,               0.001552
                    130,                0.67068,                0.38866,                0.90089,                0.84955,                0.70091,                 0.7516,                0.52516,                 1.2613,                0.78159,                 1.1428,               0.001486,               0.001486,               0.001486
                    131,                0.66808,                0.38608,                0.90105,                0.85033,                0.70123,                0.75197,                0.52524,                  1.261,                0.78148,                 1.1428,                0.00142,                0.00142,                0.00142
                    132,                0.66896,                0.38752,                0.90264,                0.85103,                0.70253,                0.75199,                0.52456,                 1.2614,                0.78223,                 1.1433,               0.001354,               0.001354,               0.001354
                    133,                0.66316,                0.38477,                0.90089,                0.85237,                0.70247,                0.75149,                0.52474,                 1.2622,                0.78369,                 1.1439,               0.001288,               0.001288,               0.001288
                    134,                 0.6593,                0.38202,                 0.8981,                0.85297,                0.70327,                0.75175,                0.52466,                  1.262,                0.78352,                 1.1441,               0.001222,               0.001222,               0.001222
                    135,                0.66204,                0.38111,                0.89903,                0.85273,                0.70228,                0.75163,                0.52489,                 1.2622,                0.78384,                 1.1442,               0.001156,               0.001156,               0.001156
                    136,                0.65675,                0.37668,                0.89823,                0.85265,                0.70243,                0.75148,                0.52443,                 1.2623,                0.78486,                 1.1445,                0.00109,                0.00109,                0.00109
                    137,                0.65717,                0.37957,                0.89918,                0.85176,                 0.7026,                0.75166,                0.52482,                 1.2627,                0.78514,                 1.1448,               0.001024,               0.001024,               0.001024
                    138,                0.65241,                0.37678,                0.89849,                0.84866,                0.70201,                0.75137,                0.52442,                 1.2625,                0.78575,                  1.145,               0.000958,               0.000958,               0.000958
                    139,                0.64998,                0.37564,                0.89737,                0.84848,                0.70213,                0.75079,                0.52488,                 1.2627,                0.78662,                 1.1452,               0.000892,               0.000892,               0.000892
                    140,                0.64047,                0.37144,                0.89264,                0.84768,                0.70212,                0.75051,                 0.5244,                 1.2634,                0.78742,                 1.1456,               0.000826,               0.000826,               0.000826
                    141,                0.61889,                0.33331,                0.87788,                0.84765,                0.70208,                0.75042,                0.52459,                 1.2635,                0.78802,                 1.1459,                0.00076,                0.00076,                0.00076
                    142,                0.61121,                0.32851,                0.87621,                 0.8479,                0.70231,                0.75093,                0.52437,                 1.2635,                0.78823,                 1.1459,               0.000694,               0.000694,               0.000694
                    143,                0.60394,                0.32535,                0.87403,                0.84762,                0.70223,                0.75146,                  0.525,                 1.2634,                0.78899,                  1.146,               0.000628,               0.000628,               0.000628
                    144,                 0.5994,                0.32044,                0.87252,                0.84654,                0.70165,                0.75098,                0.52469,                 1.2638,                0.78948,                 1.1465,               0.000562,               0.000562,               0.000562
                    145,                0.59668,                0.32002,                0.87132,                0.85279,                0.69777,                0.75104,                0.52438,                 1.2636,                0.79009,                 1.1467,               0.000496,               0.000496,               0.000496
                    146,                0.59331,                0.31725,                0.86891,                0.85414,                 0.6968,                0.75121,                0.52444,                 1.2641,                0.79055,                 1.1468,                0.00043,                0.00043,                0.00043
                    147,                0.58933,                0.31546,                0.86793,                0.85391,                0.69593,                0.75158,                0.52451,                 1.2646,                0.79153,                 1.1476,               0.000364,               0.000364,               0.000364
                    148,                0.58683,                 0.3137,                0.86817,                0.85574,                0.69494,                 0.7511,                0.52439,                 1.2645,                0.79231,                 1.1479,               0.000298,               0.000298,               0.000298
                    149,                0.58433,                0.31302,                0.86504,                 0.8571,                0.69452,                0.75152,                0.52437,                 1.2647,                0.79296,                 1.1479,               0.000232,               0.000232,               0.000232
                    150,                0.58203,                0.31164,                0.86688,                0.85729,                0.69408,                0.75153,                0.52439,                 1.2648,                0.79436,                 1.1482,               0.000166,               0.000166,               0.000166
